"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @Archivistes_AAF: #AAFRennes2025 : quelle émotion de l'écrire pour la première fois ! 
Nous avons de belles nouvelles concernant le Foru…",FALSE,0,NA,2023-03-02 17:20:43,FALSE,NA,"1631343793004847128",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Vacleia",3,TRUE,FALSE,NA,NA
"2","RT @Archivistes_AAF: #AAFRennes2025 : quelle émotion de l'écrire pour la première fois ! 
Nous avons de belles nouvelles concernant le Foru…",FALSE,0,NA,2023-03-02 15:55:51,FALSE,NA,"1631322434535329792",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","aupaysdesarchiv",3,TRUE,FALSE,NA,NA
"3","RT @Archivistes_AAF: #AAFRennes2025 : quelle émotion de l'écrire pour la première fois ! 
Nous avons de belles nouvelles concernant le Foru…",FALSE,0,NA,2023-03-02 15:30:41,FALSE,NA,"1631316102188785666",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CB_archiviste",3,TRUE,FALSE,NA,NA
"4","#AAFRennes2025 : quelle émotion de l'écrire pour la première fois ! 
Nous avons de belles nouvelles concernant le F… https://t.co/xLJB9UMogL",FALSE,18,NA,2023-03-02 14:40:15,TRUE,NA,"1631303408748748803",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","Archivistes_AAF",3,FALSE,FALSE,NA,NA
